name,experience,sector,feedback,jurisdiction,charges,daysofdisposal,language,cityofpractice,probonoserviceprovided,clientdemographics,total_score
Anay Ahluwalia,20,"Corporate Law, Consumer Protection Law, and Labor Law",5,Supreme Court,420.6850079,117.6959388,"Telugu, Hindi and Hindi",Hyderabad,yes,Large Corporations,28
Arnav Dubey,29,"Intellectual Property Law, Criminal Law, and Tax Law",2,Specialized Court,435.6630627,119.0003962,"Urdu, Kannada and Tamil",Delhi,no,Small Businesses,21.5
Lavanya Lalla,15,"Human Rights Law, Civil Law, and Family Law",5,Specialized Court,236.7982296,93.85126198,"Gujarati, Kannada and Tamil",Delhi,yes,Large Corporations,23.5
Armaan Khosla,11,"Constitutional Law, Media and Entertainment Law, and Real Estate Law",2,Specialized Court,90.20295603,89.82727368,"Punjabi, Telugu and Tamil",Kolkata,yes,Large Corporations,15.5
Advik Chaudry,8,"Human Rights Law, Constitutional Law, and Human Rights Law",2,Supreme Court,247.0016648,105.4598971,"Malayalam, Odia and Urdu",Bangalore,yes,Individuals,16
Urvi Bedi,29,"Medical Law, Immigration Law, and Constitutional Law",2,Supreme Court,153.8305656,106.4219775,"Hindi, Malayalam and Malayalam",Bangalore,yes,Small Businesses,24
Rania Bansal,21,"Labor Law, Media and Entertainment Law, and Civil Law",4,Specialized Court,181.0384047,77.91012403,"Hindi, Malayalam and Bengali",Hyderabad,no,Individuals,23.5
Urvi Gera,7,"Labor Law, Consumer Protection Law, and Criminal Law",4,Specialized Court,397.5204006,82.101673,"Gujarati, Kannada and Hindi",Kolkata,yes,Small Businesses,17.5
Shamik Kamdar,26,"Real Estate Law, Media and Entertainment Law, and Immigration Law",5,District Court,83.98718871,70.16478848,"Malayalam, Telugu and Bengali",Hyderabad,yes,Individuals,22.5
Ayesha Bala,19,"Banking and Finance Law, Environmental Law, and Civil Law",3.004576659,Specialized Court,422.4115479,89.33090202,"Telugu, Punjabi and Punjabi",Chennai,yes,Individuals,21.5
Jayesh Kapur,23,"Immigration Law, Immigration Law, and Medical Law",5,High Court,242.4510886,99.99941825,"Telugu, Tamil and Urdu",Bangalore,yes,Large Corporations,23
Rohan Basu,11,"Family Law, Real Estate Law, and Media and Entertainment Law",4,High Court,318.228769,69.75111543,"Tamil, Telugu and Tamil",Kolkata,no,Large Corporations,17
Divit Kapoor,11,"Environmental Law, Banking and Finance Law, and Real Estate Law",1,Specialized Court,90.34350406,83.17201643,"Malayalam, Tamil and Tamil",Kolkata,no,Small Businesses,13.5
Vardaniya Mallick,24,"Labor Law, Intellectual Property Law, and Medical Law",1,Supreme Court,201.8115853,69.79119124,"Urdu, Odia and Assamese",Hyderabad,no,Small Businesses,20
Ivan Koshy,21,"Constitutional Law, Banking and Finance Law, and Media and Entertainment Law",5,District Court,90.36541356,76.51800285,"Bengali, Assamese and Assamese",Delhi,yes,Small Businesses,20.5
Reyansh Sibal,4,"Corporate Law, Intellectual Property Law, and Medical Law",4,Supreme Court,482.6946753,98.2652559,"Telugu, Marathi and Urdu",Kolkata,no,Large Corporations,18
Vedika Vala,8,"Environmental Law, Corporate Law, and Criminal Law",4,Specialized Court,413.2677422,78.997769,"Urdu, Urdu and Punjabi",Hyderabad,no,Individuals,17.5
Aaryahi Sood,24,"Consumer Protection Law, Media and Entertainment Law, and Labor Law",2,High Court,256.8347395,85.48761066,"Telugu, Telugu and Gujarati",Mumbai,no,Small Businesses,17
